file_name,cusip,isin,identifier
20160504_PLCOAL_CDS_deliverable-obligations,704549AKO,US704549AK01,20160504_PLCOAL_CDS
20160504_PLCOAL_CDS_deliverable-obligations,E18712495,USU70493AB49,20160504_PLCOAL_CDS
20160504_PLCOAL_CDS_deliverable-obligations,704549AJ3,US704549AJ38,20160504_PLCOAL_CDS
20160504_PLCOAL_CDS_deliverable-obligations,704549AH7,US704549AH71,20160504_PLCOAL_CDS
20160504_PLCOAL_CDS_deliverable-obligations,704549AM6,US704549AM66,20160504_PLCOAL_CDS
20160504_PLCOAL_CDS_deliverable-obligations,E18712578,USU70493AC22,20160504_PLCOAL_CDS
20160504_PLCOAL_CDS_deliverable-obligations,704549AL8,US704549AL83,20160504_PLCOAL_CDS
20160504_PLCOAL_CDS_deliverable-obligations,704549AQ7,US704549AQ70,20160504_PLCOAL_CDS
20160504_PLCOAL_CDS_deliverable-obligations,EK7918080,USU70493AE87,20160504_PLCOAL_CDS
20160504_PLCOAL_CDS_deliverable-obligations,704549AF1,US704549AF16,20160504_PLCOAL_CDS
